nombre comercial,nombre,apellido,email,telefono,email de contacto,nombre de contacto,apellido de contacto,telefono de contacto,cargo,direccion,ciudad,codigo postal,pais,provincia
Rangel Galindo Villarreal Torres S.A.,Claudio,Salazar Maya,Claudio.SalazarMaya10+c1@hotmail.com,941.246.714,Marta.NavarroSoto+p1@gmail.com,Marta,Navarro Soto,947 791 787,Director de Infraestructura Director,"Paseo Mariano Lemus Villanueva, 43",Lugo,98334,Argentina,Santa Fe
Carrasco Laureano y Almaráz Elizondo,Silvia,Rascón Trujillo,Silvia_RasconTrujillo+c2@yahoo.com,963-558-127,Mariano_PedrozaCortes+p2@gmail.com,Mariano,Pedroza Cortés,906 335 503,Oficial de Cuentas Distrito,Sección Mariano Delgadillo Palomino s/n.,Almería,71377,Argentina,Santa Fe
Delafuente Zapata Alvarado Pedraza Hermanos,Ramona,Valles Mojica,Ramona.VallesMojica82+c3@gmail.com,928.126.102,Agustin.GonzalezBarreto16+p3@hotmail.com,Agustín,González Barreto,932686154,Director de Identidad Dinánmico,Caserio Gabriela Zelaya Molina 51,Bilbao,02529,Colombia,
"Jaime Camarillo, Sepúlveda Delgadillo y Rocha Tejeda Asociados",Fernando,Porras Lovato,Fernando.PorrasLovato+c4@gmail.com,949.945.261,Santiago_GrijalvaArmijo+p4@hotmail.com,Santiago,Grijalva Armijo,984581831,Especialista de Programa Interno,"Caserio Cecilia Mireles Marín, 5",Córdoba,83962,Chile,
Caraballo Esparza y Nájera Barragán,Lucas,Cerda Patiño,Lucas_CerdaPatino+c5@yahoo.com,941.202.968,David_AlvarezLoera91+p5@yahoo.com,David,Álvarez Loera,901415886,Coordinador de Tácticas Director,"Prolongación Samuel Prado Rojo, 80",Madrid,41808,Colombia,
"Briseño León, Murillo Villanueva y Curiel Anaya Asociados",Barbara,Feliciano Salas,Barbara.FelicianoSalas87+c6@yahoo.com,941-956-043,Federico.UrenaEspinosa61+p6@yahoo.com,Federico,Ureña Espinosa,909 433 036,Gerente de Soluciones Futuro,Edificio Patricia Jurado Paz 1,Castellón de la Plana,69846,México,Jalisco
"González Venegas, Espinosa Curiel y Meléndez Rodarte Asociados",María Soledad,Preciado Valdez,MariaSoledad.PreciadoValdez12+c7@gmail.com,947 609 411,Sonia_AtencioBatista+p7@yahoo.com,Sonia,Atencio Batista,906-932-567,Analista de Identidad Producto,Avenida Inés Páez Villarreal s/n.,Cáceres,70637,México,Jalisco
Valadez Soto Bahena Barrientos e Hijos,Emilio,Blanco Duarte,Emilio_BlancoDuarte32+c8@gmail.com,901932582,Soledad_SarabiaCalvillo31+p8@hotmail.com,Soledad,Sarabia Calvillo,945.648.423,Planificador de Datos Gerente,Huerta Gabriela Lomeli Ávalos 6,Zaragoza,51713,Argentina,Mendoza
"Peña Aguilar, Sotelo Escamilla y Aragón Medina Asociados",Eva,Medina Toro,Eva.MedinaToro+c9@hotmail.com,928 653 113,Benjamin.ReynosoCuellar8+p9@gmail.com,Benjamín,Reynoso Cuellar,991-629-163,Ejecutivo de Grupo Dinánmico,Mercado Javier 43,Logroño,60676,Perú,
Armenta Orosco y Olvera Porras,Gabriel,Escobar Moreno,Gabriel_EscobarMoreno+c10@hotmail.com,918690319,Veronica_SerranoSoliz+p10@gmail.com,Verónica,Serrano Soliz,950.105.990,Ejecutivo de Mercados Senior,"Lado Julio César, 2",Ciudad Real,06836,España,Barcelona
